State,District,Latitude,Longitude,District code,Households_with_Internet,Households_with_Computer,Hindus,Population,Rural_Households,Urban_Households,Married_couples_None_Households,sex_ratio,literacy_rate
Andhra Pradesh,Adilabad,19.284513950073435,78.81321233480176,532,5512,45202,2399901,2741239,597466,220248,82830,100.0,54.0
Andhra Pradesh,Anantapur,14.312065561843148,77.4601584478577,553,8606,48299,3599372,4081148,902997,341431,109372,98.0,57.0
Andhra Pradesh,Chittoor,13.33109263067696,78.92763898886037,554,13763,67087,3737588,4174064,907970,395900,147264,100.0,64.0
Andhra Pradesh,East Godavari,16.782718320784902,82.2432074720511,545,22411,93784,4983330,5154296,1199479,406362,228618,101.0,64.0
Andhra Pradesh,Guntur,15.884925767634847,80.58657614107885,548,19383,80434,4217597,4887813,1069877,513113,185688,100.0,61.0
Andhra Pradesh,Hyderabad,17.38971555555556,78.46668888888888,536,149034,274653,2046051,3943323,0,1066289,94747,95.0,73.0
Andhra Pradesh,Karimnagar,18.515483193277312,79.43765428571413,534,8831,46584,3491139,3776269,877236,288044,133465,101.0,58.0
Andhra Pradesh,Khammam,17.683921325051784,80.67008643892335,541,8628,42171,2595321,2797370,669262,201363,112134,101.0,58.0
Andhra Pradesh,Krishna,16.143872753151673,81.14805061000413,547,30438,101450,4023678,4517398,909292,567042,183554,99.0,67.0
Andhra Pradesh,Kurnool,15.43759715142429,77.90086836581717,552,10081,56478,3328380,4053463,783853,306982,92650,99.0,52.0
Andhra Pradesh,Mahbubnagar,16.639546224256293,77.98933089244859,538,6153,60812,3673456,4053028,848963,161052,100900,98.0,48.0
Andhra Pradesh,Medak,17.889304978038055,78.13778901903379,535,8635,47170,2637313,3033288,593653,195479,74445,99.0,54.0
Andhra Pradesh,Nalgonda,17.113250515463907,79.16984453608244,539,7715,53777,3249231,3488809,833504,197433,120943,98.0,57.0
Andhra Pradesh,Nizamabad,18.429485849056604,78.07523490566035,533,5261,35036,2123426,2551335,565165,155133,80591,104.0,54.0
Andhra Pradesh,Prakasam,15.489039001601704,80.11665790176184,549,6151,43611,3150195,3397448,873486,214089,113321,98.0,56.0
Andhra Pradesh,Srikakulam,18.570900998697432,84.25874814010675,542,3988,32280,2666950,2703114,752752,149684,107495,101.0,55.0
Andhra Pradesh,Vizianagaram,18.28329696032972,83.45982854198873,543,4453,24128,2299129,2344474,592458,157056,84176,102.0,53.0
Andhra Pradesh,Warangal,18.01752608695651,79.87422028985509,540,12952,59006,3273755,3512576,758738,288249,112611,100.0,59.0
Andhra Pradesh,West Godavari,16.63297943925236,81.45912990654196,546,12050,55613,3733191,3936966,1007255,248373,167867,100.0,67.0
Arunachal Pradesh,Changlang,27.36048479338845,96.37552644628106,253,170,1486,47683,148226,33422,6498,3807,93.0,49.0
Arunachal Pradesh,East Kameng,27.371194055944056,93.04741486013997,247,57,885,12333,78690,14503,5215,1582,103.0,49.0
Arunachal Pradesh,East Siang,28.15382352941176,95.06499226006191,251,450,1582,27854,99214,19497,9524,2989,98.0,63.0
Arunachal Pradesh,Kurung Kumey,28.04853351800553,93.24531994459834,256,95,969,4859,92076,18603,1092,1410,103.0,40.0
Arunachal Pradesh,Lohit,27.946785273972623,96.59670770547945,259,312,1471,99020,145726,33599,11372,4391,91.0,57.0
Arunachal Pradesh,Lower Dibang Valley,28.32651730103806,95.76567335640142,258,207,742,28915,54080,12000,3950,2130,93.0,59.0
Arunachal Pradesh,Lower Subansiri,27.70849297297297,93.96226108108112,255,381,1598,9551,83030,18112,5365,2614,98.0,65.0
Arunachal Pradesh,Papum Pare,27.273529716981127,93.54468183962264,248,2477,7418,57027,176573,20308,30180,5667,98.0,69.0
Arunachal Pradesh,Tawang,27.680683962264148,91.82504245283016,245,96,494,11842,49977,10730,2452,2894,71.0,52.0
Arunachal Pradesh,Tirap,26.94406229508198,95.41470327868862,254,98,888,20682,111975,18420,6500,2724,94.0,43.0
Arunachal Pradesh,Upper Siang,28.8309244897959,95.00155765306124,252,97,392,5261,35320,8569,2182,1603,89.0,52.0
Arunachal Pradesh,Upper Subansiri,28.277196566523585,93.8991435622318,249,139,750,13474,83448,14542,4672,2011,100.0,54.0
Arunachal Pradesh,West Kameng,27.46486582278483,92.65015750452083,246,202,887,31265,83947,17889,6306,3770,82.0,58.0
Arunachal Pradesh,West Siang,28.106296920289843,94.53510344202908,250,303,1300,15881,112274,22272,8503,2987,93.0,58.0
Assam,Barpeta,26.427872264631056,90.97912010178116,303,2078,25286,492966,1693622,447189,52192,31369,95.0,53.0
Assam,Bongaigaon,26.45012521994133,90.6734296187684,319,2523,12959,359145,738804,181923,38470,20913,97.0,59.0
